Symbol,Name,Reason
ADP,"Automatic Data Processing, Inc.",Avg. Volume
TYL,"Tyler Technologies, Inc.",P/E
AFL,Aflac Incorporated,Operating Margins
FI,"Fiserv, Inc.",Avg. Volume
ODFL,"Old Dominion Freight Line, Inc.",Avg. Volume
APH,Amphenol Corporation,Avg. Volume
COR,"Cencora, Inc.",EBITDA Margin
FE,FirstEnergy Corp.,Operating Margins
CBOE,"Cboe Global Markets, Inc.",Avg. Volume
CZR,"Caesars Entertainment, Inc.",Debt/Equity
WBA,"Walgreens Boots Alliance, Inc.",EBITDA Margin
CTSH,Cognizant Technology Solutions Corporation,Operating Margins
FFIV,"F5, Inc.",Avg. Volume
CNP,"CenterPoint Energy, Inc.",Operating Margins
CARR,Carrier Global Corporation,EBITDA Margin
D,"Dominion Energy, Inc.",Debt/Equity
FRT,Federal Realty Investment Trust,Debt/Equity
BA,The Boeing Company,Eps
HES,Hess Corporation,Avg. Volume
VLTO,Veralto Corporation,Debt/Equity
LH,Laboratory Corporation of America Holdings,EBITDA Margin
RL,Ralph Lauren Corporation,EBITDA Margin
MCHP,Microchip Technology Incorporated,Beta
LKQ,LKQ Corporation,EBITDA Margin
CEG,Constellation Energy Corporation,Revenue Growth
LOW,"Lowe's Companies, Inc.",Operating Margins
WST,"West Pharmaceutical Services, Inc.",Avg. Volume
WMT,Walmart Inc.,EBITDA Margin
TMUS,"T-Mobile US, Inc.",Debt/Equity
LDOS,"Leidos Holdings, Inc.",P/E
SPG,"Simon Property Group, Inc.",Debt/Equity
NEM,Newmont Corporation,Eps
LULU,Lululemon Athletica Inc.,Avg. Volume
VZ,Verizon Communications Inc.,Debt/Equity
CMG,"Chipotle Mexican Grill, Inc.",P/E
MMC,"Marsh & McLennan Companies, Inc.",Debt/Equity
TROW,"T. Rowe Price Group, Inc.",Avg. Volume
PAYC,"Paycom Software, Inc.",Avg. Volume
EQIX,"Equinix, Inc.",P/E
TJX,"The TJX Companies, Inc.",EBITDA Margin
AAL,American Airlines Group Inc.,EBITDA Margin
BMY,Bristol-Myers Squibb Company,Operating Margins
ADM,Archer-Daniels-Midland Company,EBITDA Margin
CHD,"Church & Dwight Co., Inc.",Operating Margins
AKAM,"Akamai Technologies, Inc.",Avg. Volume
EXPD,"Expeditors International of Washington, Inc.",EBITDA Margin
URI,"United Rentals, Inc.",Debt/Equity
HAS,"Hasbro, Inc.",Eps
AJG,Arthur J. Gallagher & Co.,P/E
AME,"AMETEK, Inc.",Avg. Volume
EMR,Emerson Electric Co.,Avg. Volume
MCK,McKesson Corporation,EBITDA Margin
BIO,"Bio-Rad Laboratories, Inc.",Eps
ORCL,Oracle Corporation,Debt/Equity
CMS,CMS Energy Corporation,Debt/Equity
ED,"Consolidated Edison, Inc.",Debt/Equity
GEN,Gen Digital Inc.,Debt/Equity
ZBH,"Zimmer Biomet Holdings, Inc.",Avg. Volume
TDY,Teledyne Technologies Incorporated,Avg. Volume
MA,Mastercard Incorporated,Debt/Equity
COO,"The Cooper Companies, Inc.",P/E
STZ,"Constellation Brands, Inc.",Debt/Equity
TTWO,"Take-Two Interactive Software, Inc.",Eps
CINF,Cincinnati Financial Corporation,Avg. Volume
NTAP,"NetApp, Inc.",Debt/Equity
BKR,Baker Hughes Company,EBITDA Margin
MOS,The Mosaic Company,Revenue Growth
MU,"Micron Technology, Inc.",Eps
BG,Bunge Global SA,EBITDA Margin
